index,target,generated,content_f1,word_f1,rouge1_f1,overlapping_content_words,bertscore_raw_f1
50,alive better than you be close and always in danger,watching you're saying you're being emotional you,0.0,0.11764705882352941,0.21052631735801697,,0.8307240605354309
61,passenger seat the driver was listening to really loud music,front door station to give up chuckoon  shoot,0.0,0.11111111111111112,0.1111111119389534,,0.8126033544540405
0,years old i got really sick um and no one,start was shifting and to my  sleeping and started,0.0,0.10526315789473685,0.10526315867900848,,0.815644383430481
12,us no trees no nothing just endless miraculous blue sky,little neighborhood irrianness like things just maybe a picture,0.0,0.10526315789473685,0.10526315867900848,,0.808203399181366
42,please deliver me and my child intact and healthy out,come sent us thisty and the donor is wants,0.0,0.10526315789473685,0.10526315867900848,,0.8386055827140808
53,thinking about my family back home and their saety later,president of memorial donate and aya wants to be,0.0,0.10526315789473685,0.10526315867900848,,0.8312534689903259
68,voice said the pain of the jump is nothing compared,coping witha panic i may know of big charges,0.0,0.10526315789473685,0.10526315867900848,,0.8431635499000549
74,losing my new safe home america like i lost baghdad,halt  save my mother just one of the events,0.0,0.10526315789473685,0.10526315867900848,,0.8250285387039185
86,busily getting out their easels and knowingly getting out sheets,new found alwell thumbsman and quantum game stores who,0.0,0.10526315789473685,0.10526315867900848,,0.8082938194274902
11,remember the plate flying and yellow rice everywhere like confetti,gun making an almost sharp hold they point and get,0.0,0.10000000000000002,0.10000000149011612,,0.8083041906356812
14,embankment and then finally came to a last thud and,start to loit progressively another time until the started it,0.0,0.10000000000000002,0.10000000149011612,,0.7994098663330078
35,dangerous edgy pictures of women and he wants to shoot,amazing art as gayest friend known of pro pro names,0.0,0.10000000000000002,0.10000000149011612,,0.8363310694694519
49,leave baghdad on thursday november twenty third of two thousand,ever time ground trip one point of survival planning and,0.0,0.10000000000000002,0.10000000149011612,,0.8008220195770264
67,freeway all of a sudden i see a nearby chekcpoint,computer came another off of his ty and started feeling,0.0,0.10000000000000002,0.10000000149011612,,0.8209770917892456
96,piece gets progressively more undone until the final piece explodes,full database factory and ninety ninth underwater with the proppy,0.0,0.10000000000000002,0.10000000149011612,,0.8192667365074158
52,sunset cars driving after sunset i remember watching the colors,second day o yeah the people will come around eighty five,0.0,0.09523809523809525,0.095238097012043,,0.8343003392219543
56,a whole new language i don't remember i ever said,front room and my patience out a minute and somebody says,0.0,0.09523809523809525,0.09090909361839294,,0.80162113904953
71,stay i left baghdad early the next morning going back,one day my release friend i could handle my we said,0.0,0.09523809523809525,0.095238097012043,,0.8244155049324036
104,piled high with artwork and at my review board one,started with letters telling people who friends you say in home,0.0,0.09523809523809525,0.095238097012043,,0.8295968770980835
108,wrong job or the wrong marriage i'm in the wrong,went those doors and you know many of the front keys,0.0,0.09523809523809525,0.09090909361839294,,0.8433582782745361
54,they speak they swallow letters one time a soldier asked,a problem for people in people and actually you mentioned large stories,0.0,0.0909090909090909,0.09090909361839294,,0.8241938352584839
1,with a hyper allergy something called stevens johnson syndrome and,never done work because first daring attempting to restart the thing,0.0,0.0,0.0,,0.7992725968360901
2,weeks in the hospital weeks blind and mute as well,start running leaping on nicean day head frienditty,0.0,0.0,0.0,,0.8148649334907532
3,slept every night in the hospital to take care of,f littlealkennef shirt new shirt now see,0.0,0.0,0.0,,0.7928294539451599
4,made a promise to god that um if god delivers,docable married and find she'gonna start running and,0.0,0.0,0.0,,0.8048061728477478
6,mother and i drove in our red ford mercury car,come back but get a new call,0.0,0.0,0.0,,0.8197245597839355
8,still really sick i could barely hold my head up,fast dance even the cold revenge point and you yeahra,0.0,0.0,0.0,,0.8228891491889954
9,squeaky round styrofoam plate with bunch of yellow rice on,european network demobilit and tried this compromise really,0.0,0.0,0.0,,0.7819847464561462
13,heard another thud and then i kind of heard and,says check the gunhawker  a has a gun,0.0,0.0,0.0,,0.8067344427108765
16,driving vijay we were at the temple vijay vijay vijay,two new hiydan are we're waiting a,0.0,0.0,0.1111111119389534,,0.8065042495727539
19,i started feeling things i started feeling hot and cold,really bad romppy looks like the,0.0,0.0,0.0,,0.809143602848053
22,famous things called the jaws of life to cut open,one  fit in large rooms u for a one in,0.0,0.0,0.0,,0.8236243724822998
23,parents got taken somewhere else my arm you know because,all outside homeititianyde wants a umh ca,0.0,0.0,0.0,,0.793289065361023
24,i remember being incredibly uncomfortable in a cold hospital bed,teend years and never women and loved and was never loved,0.0,0.0,0.0,,0.8280947208404541
25,remember you know in the emergency room i remember vague,nine time close non depth to twenty eighty probably probably,0.0,0.0,0.0,,0.8182984590530396
28,kind of semi lame at my side and you know,big fundraiser forlmoorville a people for west,0.0,0.0,0.0,,0.7912778854370117
29,got this very beautiful thin scratch of a surgery incision,wearing sea hair and shirts and he was dressed,0.0,0.0,0.0,,0.8089648485183716
30,arm got better the scar got worse and you know,wing infugiible to spawn off a substance,0.0,0.0,0.0,,0.8134220838546753
33,i really started modeling to pay off my college loans,ftitit leaping this thing and,0.0,0.0,0.0,,0.8032445311546326
34,helmut newton they said you know helmut newton the guy,great new to christiingtonfield um yeah likea great,0.0,0.0,0.0,,0.811971127986908
36,somebody else thinking you're cool can make you think differently,start throwing aia a listen to pick up,0.0,0.0,0.0,,0.8113100528717041
37,college loans and you know bought me an apartment paid,was good cause i helpedred my my boyfriend,0.0,0.0,0.0,,0.8363551497459412
38,back in another hospital bed staring at another white ceiling,done piece nice really really durreda or really more,0.0,0.0,0.0,,0.7814380526542664
39,pregnant which was a real surprise but a happy one,wake up up and baning get around lookmps,0.0,0.0,0.0,,0.8112098574638367
40,complete bed rest the last trimester of my pregnancy and,didn't make sense but it non coopertted,0.0,0.0,0.0,,0.7738220691680908
43,friend she used to study english literature so she and,hostor monitor grouper boardingrow mik siema,0.0,0.0,0.0,,0.7818261981010437
44,explosion sent people flying from their seats my friend jumped,infield blazeing in into darkness and it,0.0,0.0,0.0,,0.8293152451515198
47,shia civil war and to see a strong iraqi military,ocean nine times like this thing like how fast you start,0.0,0.0,0.0,,0.8042259812355042
48,the sectarian killings and kidnappings one morning my mom said,thirty police men fills in a teen marcpo,0.0,0.0,0.0,,0.8188012838363647
51,arrived in kurdistan state in northern iraq and i managed,take out to lantalabaan thought optimized,0.0,0.0,0.0,,0.7961013913154602
58,my new family on base even though it was dangerous,twoy years behind other people who might' of be loved,0.0,0.0,0.0,,0.8152496814727783
63,driving at least a hundred mile per hour or even,new world wide off forward westpacit beginning to eleven,0.0,0.0,0.0,,0.7773013114929199
64,hear about a kidnapping almost every day in the news,next year you say an like thing you know know periodically,0.0,0.0,0.0,,0.8172709941864014
65,movie the lead actor always survive because it's a movie,ocean canopy again compiludary destruction and this,0.0,0.0,0.0,,0.8290486335754395
66,gonna see another day am i gonna see my family,last few years remember a time you get something,0.0,0.0,0.0,,0.8358283042907715
69,remember feeling any pain i just ran i ran for,funny time hit brufington our night and really fast,0.0,0.0,0.0,,0.8077033758163452
70,soldiers rushed to help me asking what happened what happened,went along the thuman's hands and sharp,0.0,0.0,0.0,,0.8097430467605591
73,enrolled in a state university to get my master's degree,made most all the worldwide moral claims at every department,0.0,0.0,0.0,,0.8213661313056946
75,something different by age thirty i had done most everything,ever anything outside ofa contextual analogation and even even,0.0,0.0,0.0,,0.7873629927635193
77,working with companies like retail banking traffic reporting hazardous waste,even embracing the bigmutness and get part of what,0.0,0.0,0.0,,0.8243827819824219
79,needlepoint directing french i found this brochure for the school,big donor back home to something in fact think what,0.0,0.0,0.0,,0.8222823739051819
81,wrong way to make art now this makes me extremely,real world just follow all what nice and never justice,0.0,0.0,0.0,,0.8181076049804688
84,next week bob one of the three instructors says today,distributing things like happy i'm starting new funny things,0.0,0.0,0.0,,0.8184707760810852
85,man the artists model starts to undress and i say,stag coughing a icky little hookid,0.0,0.0,0.0,,0.809321403503418
87,competitive and so i ask judy who is standing next,one older um ex one friend ansay band says stuff,0.0,0.0,0.0,,0.8255003690719604
88,going to look different i'm paralyzed what is mine supposed,getting excited uh talking we start getting high,0.0,0.0,0.0,,0.8430674076080322
89,no way i'm gonna excel drawing this naked man's essence,carry you things because friends knowny know rules like things,0.0,0.0,0.0,,0.8132898807525635
91,ever trying anything different for even attempting anything new and,kind of give up the trouble of my self to get,0.0,0.0,0.0,,0.8292304873466492
92,end of class bob picks one of my gesture drawings,add play action so you know to bring the action,0.0,0.0,0.0,,0.8410099744796753
93,anything but things at home start to get a little,human and everyone's like something's getting all along,0.0,0.0,0.10000000149011612,,0.8363653421401978
94,business one but when i started going to art school,two years forward  forward three and twelve nine exactly nine,0.0,0.0,0.0,,0.7976231575012207
95,new york times business sections and the wall street journal,first time you think mad i woke of five hours,0.0,0.0,0.10000000149011612,,0.7899516224861145
97,go back to my normal life and i'm highly suspicious,start blacing excitement one day finally come,0.0,0.0,0.0,,0.8161486387252808
98,committed relationship for the past eighteen years with his boyfriend,last date like behold sevenjayan though it's going,0.0,0.0,0.0,,0.8217307925224304
99,big donor cause i was working at harvard business school,gonnaevangelial things for one year looking forward,0.0,0.0,0.0,,0.7929545044898987
100,school as a part time student but i'm still consulting,somebody at the relations station  you'm looking new material,0.0,0.0,0.095238097012043,,0.818480908870697
103,two instructors and several students review the work give us,future things up to seven eight hours a week already,0.0,0.0,0.0,,0.8123453855514526
105,the process won't allow that you've got to let go,big things like like nation beginning trouble like big think people want,0.0,0.0,0.0,,0.8092089891433716
107,consulting work and even though i'm getting paid a fire,broker the american'is trying to the technical overhaul,0.0,0.0,0.0,,0.8223009705543518
109,home of twenty five years and my jeep gets stolen,financed soviean getpoint' you know what,0.0,0.0,0.0,,0.8103989958763123
