index,target,generated,target_word_count,decoded_word_count,exact_word_f1,stemmed_word_f1,exact_content_word_f1,stemmed_content_word_f1,exact_overlap_words,stemmed_overlap_forms,exact_content_overlap_words,stemmed_content_overlap_forms,decoded_function_word_count,decoded_function_word_fraction,decoded_function_words,target_function_word_count,target_function_word_fraction,target_function_words
23,parents got taken somewhere else my arm you know because,new dellitia inlaby a hill,10,5,0.0,0.0,0.0,0.0,,,,,1,0.2,a,3,0.3,my you because
24,i remember being incredibly uncomfortable in a cold hospital bed,years of college temperature and early yea graduated,10,8,0.0,0.0,0.0,0.0,,,,,2,0.25,of and,4,0.4,i being in a
25,remember you know in the emergency room i remember vague,two relatively unfatiate times and death one probably,10,8,0.0,0.0,0.0,0.0,,,,,1,0.125,and,4,0.4,you in the i
26,took us a long time to heal my stepfather broke,the home nowy and her life was home,10,8,0.0,0.0,0.0,0.0,,,,,4,0.5,the and her was,4,0.4,us a to my
27,one nursing twenty four hours around the clock at home,two older home manager michth alaby,10,6,0.125,0.125,0.14285714285714288,0.14285714285714288,home,home,home,home,0,0.0,,2,0.2,the at
28,kind of semi lame at my side and you know,prime def a northern vilore,10,5,0.0,0.0,0.0,0.0,,,,,1,0.2,a,5,0.5,of at my and you
29,got this very beautiful thin scratch of a surgery incision,produced a terees skin jacket,10,5,0.13333333333333333,0.13333333333333333,0.0,0.0,a,a,,,1,0.2,a,4,0.4,this very of a
30,arm got better the scar got worse and you know,little medities to take a table,10,6,0.0,0.0,0.0,0.0,,,,,2,0.3333333333333333,to a,3,0.3,the and you
31,multiple surgeries on the arm every time the arm got,a account that need needs to spend the,10,8,0.11111111111111112,0.11111111111111112,0.0,0.0,the,the,,,4,0.5,a that to the,3,0.3,on the the
32,wear a short sleeve blouse or a long sleeve blouse,big foness from,10,3,0.0,0.0,0.0,0.0,,,,,1,0.3333333333333333,from,3,0.3,a or a
33,i really started modeling to pay off my college loans,situation intitiateation the time again,10,5,0.0,0.0,0.0,0.0,,,,,2,0.4,the again,5,0.5,i really to off my
34,helmut newton they said you know helmut newton the guy,new new at at top of new yorker,10,8,0.0,0.0,0.0,0.0,,,,,3,0.375,at at of,3,0.3,they you the
35,dangerous edgy pictures of women and he wants to shoot,great new asitite point of pro weapon is,10,8,0.11111111111111112,0.11111111111111112,0.0,0.0,of,of,,,2,0.25,of is,4,0.4,of and he to
36,somebody else thinking you're cool can make you think differently,start giving jantonio a new jawish,10,6,0.0,0.0,0.0,0.0,,,,,1,0.16666666666666666,a,3,0.3,you're can you
37,college loans and you know bought me an apartment paid,doing anything and the of the landlord,10,7,0.11764705882352941,0.11764705882352941,0.0,0.0,and,and,,,5,0.7142857142857143,doing and the of the,4,0.4,and you me an
38,back in another hospital bed staring at another white ceiling,actually done tore of a gay partner actually,10,8,0.0,0.0,0.0,0.0,,,,,2,0.25,of a,2,0.2,in at
39,pregnant which was a real surprise but a happy one,getting really active maladies  front of max charges,10,8,0.0,0.0,0.0,0.0,,,,,2,0.25,really of,5,0.5,which was a but a
40,complete bed rest the last trimester of my pregnancy and,fact matter actually got really wrong of the landlord,10,9,0.2105263157894737,0.2105263157894737,0.0,0.0,of the,of the,,,3,0.3333333333333333,really of the,4,0.4,the of my and
41,one time for five days with a fetal heart monitor,new inside cabin  welcome a jay,10,6,0.125,0.125,0.0,0.0,a,a,,,1,0.16666666666666666,a,3,0.3,for with a
42,please deliver me and my child intact and healthy out,come back your youty the ayra,10,6,0.0,0.0,0.0,0.0,,,,,2,0.3333333333333333,your the,5,0.5,me and my and out
43,friend she used to study english literature so she and,boarding police donor marc ayora marc,10,6,0.0,0.0,0.0,0.0,,,,,0,0.0,,5,0.5,she to so she and
44,explosion sent people flying from their seats my friend jumped,parked inhuing an o of of of cause,10,8,0.0,0.0,0.0,0.0,,,,,4,0.5,an of of of,3,0.3,from their my
45,driver sped away trying to get to safety not knowing,someone entering the door is flying,10,6,0.0,0.0,0.0,0.0,,,,,2,0.3333333333333333,the is,3,0.3,to to not
46,twenty five minutes ride to school took two hours because,the big effects in the net didny front,10,8,0.0,0.0,0.0,0.0,,,,,3,0.375,the in the,2,0.2,to because
47,shia civil war and to see a strong iraqi military,ten minute time it's okay soon you start,10,8,0.0,0.0,0.0,0.0,,,,,2,0.25,it's you,3,0.3,and to a
48,the sectarian killings and kidnappings one morning my mom said,ateen interviewer stands to park a five eightth,10,8,0.0,0.0,0.0,0.0,,,,,2,0.25,to a,3,0.3,the and my
49,leave baghdad on thursday november twenty third of two thousand,ever longer time shift the need to get ready ready,10,10,0.0,0.0,0.0,0.0,,,,,2,0.2,the to,2,0.2,on of
50,alive better than you be close and always in danger,if you're happy you're face a good people,10,8,0.0,0.0,0.0,0.0,,,,,4,0.5,if you're you're a,5,0.5,than you be and in
51,arrived in kurdistan state in northern iraq and i managed,all hathattschristaan front fighter,10,4,0.0,0.0,0.0,0.0,,,,,1,0.25,all,4,0.4,in in and i
52,sunset cars driving after sunset i remember watching the colors,utitrent northern park be about five minutes,10,7,0.0,0.0,0.0,0.0,,,,,2,0.2857142857142857,be about,3,0.3,after i the
53,thinking about my family back home and their saety later,people gonna support one ajaa is starting,10,7,0.0,0.0,0.0,0.0,,,,,1,0.14285714285714285,is,4,0.4,about my and their
54,they speak they swallow letters one time a soldier asked,one time outfield people they say,10,6,0.37499999999999994,0.37499999999999994,0.3333333333333333,0.3333333333333333,one they time,one they time,one time,one time,1,0.16666666666666666,they,3,0.3,they they a
55,botter because i couldn't hear the t's just the r's,one last  pointy the bag the trail player started a,10,10,0.20000000000000004,0.20000000000000004,0.0,0.0,the the,the the,,,3,0.3,the the a,6,0.6,because i couldn't the just the
56,a whole new language i don't remember i ever said,long  support point h a newspaper,10,6,0.125,0.125,0.0,0.0,a,a,,,1,0.16666666666666666,a,4,0.4,a i don't i
57,iraqi police iraqi military local mayors leaders with top us,a major wingal and,10,4,0.0,0.0,0.0,0.0,,,,,2,0.5,a and,2,0.2,with us
58,my new family on base even though it was dangerous,two eight years older friends people who would're a,10,9,0.0,0.0,0.0,0.0,,,,,3,0.3333333333333333,who would're a,4,0.4,my on it was
59,i wanted i asked to go on vacation to see,out time to the promoter yya stream,10,7,0.11764705882352941,0.11764705882352941,0.0,0.0,to,to,,,3,0.42857142857142855,out to the,5,0.5,i i to on to
60,dad one evening i took a two mile walk to,o't ition am home for five days,10,7,0.0,0.0,0.0,0.0,,,,,2,0.2857142857142857,am for,3,0.3,i a to
61,passenger seat the driver was listening to really loud music,one new fill to help of a'aa hotel,10,8,0.11111111111111112,0.11111111111111112,0.0,0.0,to,to,,,2,0.25,to of,4,0.4,the was to really
62,the street he turned left and instead of turning around,no time time enough but he put his boat back,10,10,0.10000000000000002,0.10000000000000002,0.0,0.0,he,he,,,4,0.4,no but he his,4,0.4,the he and of
63,driving at least a hundred mile per hour or even,next north plaitit it's step up to,10,7,0.0,0.0,0.0,0.0,,,,,3,0.42857142857142855,it's up to,3,0.3,at a or
64,hear about a kidnapping almost every day in the news,one big donations like you know,10,6,0.0,0.0,0.0,0.0,,,,,1,0.16666666666666666,you,4,0.4,about a in the
65,movie the lead actor always survive because it's a movie,inneritivtary body system,10,3,0.0,0.0,0.0,0.0,,,,,0,0.0,,4,0.4,the because it's a
66,gonna see another day am i gonna see my family,one last year of until the i get  another start,10,10,0.20000000000000004,0.20000000000000004,0.15384615384615383,0.15384615384615383,another i,anoth i,another,anoth,4,0.4,of until the i,3,0.3,am i my
67,freeway all of a sudden i see a nearby chekcpoint,in front ofjoonville a cordie started laughinging,10,7,0.11764705882352941,0.11764705882352941,0.0,0.0,a,a,,,2,0.2857142857142857,in a,5,0.5,all of a i a
68,voice said the pain of the jump is nothing compared,start of the head section probably the' of charges,10,9,0.3157894736842105,0.3157894736842105,0.0,0.0,of the the,of the the,,,4,0.4444444444444444,of the the of,4,0.4,the of the is
69,remember feeling any pain i just ran i ran for,a really happy tenth grade a point it started,10,9,0.0,0.0,0.0,0.0,,,,,4,0.4444444444444444,a really a it,5,0.5,any i just i for
70,soldiers rushed to help me asking what happened what happened,go all the m knowness and your head and head,10,10,0.0,0.0,0.0,0.0,,,,,5,0.5,all the and your and,4,0.4,to me what what
71,stay i left baghdad early the next morning going back,one day the flight officer harathan jacish,10,7,0.11764705882352941,0.11764705882352941,0.0,0.0,the,the,,,1,0.14285714285714285,the,2,0.2,i the
72,us military you will forever be an al qaeda target,new military center wing avan the action,10,7,0.11764705882352941,0.11764705882352941,0.1818181818181818,0.1818181818181818,military,militari,military,militari,1,0.14285714285714285,the,5,0.5,us you will be an
73,enrolled in a state university to get my master's degree,already  semiiltippy grad front,10,4,0.0,0.0,0.0,0.0,,,,,0,0.0,,4,0.4,in a to my
74,losing my new safe home america like i lost baghdad,waking reiteia's charges,10,3,0.0,0.0,0.0,0.0,,,,,0,0.0,,2,0.2,my i
75,something different by age thirty i had done most everything,ever time culturally but legal work and the,10,8,0.0,0.0,0.0,0.0,,,,,3,0.375,but and the,4,0.4,by i had most
76,north to boston which caused my family to collectively take,two hour stay from front ofanalana a newspaper,10,8,0.0,0.0,0.0,0.0,,,,,2,0.25,from a,4,0.4,to which my to
77,working with companies like retail banking traffic reporting hazardous waste,even in front the most intimate stuff,10,7,0.0,0.0,0.0,0.0,,,,,3,0.42857142857142855,in the most,1,0.1,with
78,started consulting and i started taking classes to figure out,a submission to your people on the ground side beginning,10,10,0.10000000000000002,0.10000000000000002,0.0,0.0,to,to,,,5,0.5,a to your on the,4,0.4,and i to out
79,needlepoint directing french i found this brochure for the school,new one average basic subjectist things with front landlords,10,9,0.0,0.0,0.0,0.0,,,,,1,0.1111111111111111,with,4,0.4,i this for the
80,best to look artsy to fit in but even though,generating big unulty symptoms on close eh,10,7,0.0,0.0,0.0,0.0,,,,,1,0.14285714285714285,on,4,0.4,to to in but
81,wrong way to make art now this makes me extremely,entire island is focal on theppy and professional loyalty,10,9,0.0,0.0,0.0,0.0,,,,,3,0.3333333333333333,is on and,3,0.3,to this me
82,class will focus on process the process of art making,third spots than everyone,10,4,0.0,0.0,0.0,0.0,,,,,1,0.25,than,4,0.4,will on the of
83,entire life i had never held a stick of charcoal,a drop wing ushawker started,10,5,0.13333333333333333,0.13333333333333333,0.0,0.0,a,a,,,1,0.2,a,4,0.4,i had a of
84,next week bob one of the three instructors says today,delivering things like new people you start with big things,10,10,0.0,0.0,0.0,0.0,,,,,2,0.2,you with,2,0.2,of the
85,man the artists model starts to undress and i say,hurting furniture,10,2,0.0,0.0,0.0,0.0,,,,,0,0.0,,4,0.4,the to and i
86,busily getting out their easels and knowingly getting out sheets,new arriveintetarian of new york deep park stores,10,8,0.0,0.0,0.0,0.0,,,,,1,0.125,of,4,0.4,out their and out
87,competitive and so i ask judy who is standing next,a room friend a uhy writer,10,6,0.0,0.0,0.0,0.0,,,,,2,0.3333333333333333,a a,5,0.5,and so i who is
88,going to look different i'm paralyzed what is mine supposed,wildly new appjuth of wytag mates,10,6,0.0,0.0,0.0,0.0,,,,,1,0.16666666666666666,of,4,0.4,to i'm what is
89,no way i'm gonna excel drawing this naked man's essence,start placing your spiritual foundationness to that you,10,8,0.0,0.0,0.0,0.0,,,,,4,0.5,your to that you,3,0.3,no i'm this
90,start making these hopeless stick figures every forty five seconds,distributing speeches of people started starting,10,6,0.0,0.125,0.0,0.14285714285714285,,start,,start,1,0.16666666666666666,of,1,0.1,these
91,ever trying anything different for even attempting anything new and,anything else earning,10,3,0.15384615384615383,0.15384615384615383,0.18181818181818182,0.18181818181818182,anything,anyth,anything,anyth,0,0.0,,2,0.2,for and
92,end of class bob picks one of my gesture drawings,a time you get a gun,10,6,0.0,0.0,0.0,0.0,,,,,3,0.5,a you a,3,0.3,of of my
93,anything but things at home start to get a little,incredibly everyone's happy swimming's got a fun thing,10,8,0.11111111111111112,0.22222222222222224,0.0,0.15384615384615383,a,a thing,,thing,1,0.125,a,4,0.4,but at to a
94,business one but when i started going to art school,soon nine ninth  forward the basic,10,6,0.0,0.0,0.0,0.0,,,,,1,0.16666666666666666,the,4,0.4,but when i to
95,new york times business sections and the wall street journal,first waking understand high i yerte,10,6,0.0,0.0,0.0,0.0,,,,,1,0.16666666666666666,i,2,0.2,and the
96,piece gets progressively more undone until the final piece explodes,big database in epistation and river bed and the,10,9,0.10526315789473685,0.10526315789473685,0.0,0.0,the,the,,,4,0.4444444444444444,in and and the,3,0.3,more until the
97,go back to my normal life and i'm highly suspicious,start enguck the excitement come again first person,10,8,0.0,0.0,0.0,0.0,,,,,2,0.25,the again,4,0.4,to my and i'm
98,committed relationship for the past eighteen years with his boyfriend,two year ptationpoint dewil now,10,5,0.0,0.13333333333333333,0.0,0.1818181818181818,,year,,year,0,0.0,,4,0.4,for the with his
99,big donor cause i was working at harvard business school,gonna be for a oree national,10,6,0.0,0.0,0.0,0.0,,,,,3,0.5,be for a,3,0.3,i was at
100,school as a part time student but i'm still consulting,a national newspaper looking for a,10,6,0.125,0.125,0.0,0.0,a,a,,,3,0.5,a for a,4,0.4,as a but i'm
101,dear friend sarah who's also a southerner i say sarah,all way far  friends and ya all places,10,8,0.0,0.11111111111111112,0.0,0.15384615384615385,,friend,,friend,3,0.375,all and all,3,0.3,who's a i
102,moving fast enough i kept pushing him to move faster,gonna come friends people support a conference,10,7,0.0,0.0,0.0,0.0,,,,,1,0.14285714285714285,a,3,0.3,i him to
103,two instructors and several students review the work give us,four  year old anniversary changes at the office station,10,9,0.10526315789473685,0.10526315789473685,0.0,0.0,the,the,,,2,0.2222222222222222,at the,3,0.3,and the us
104,piled high with artwork and at my review board one,releasing delentation of a woman sitting group,10,7,0.0,0.0,0.0,0.0,,,,,2,0.2857142857142857,of a,4,0.4,with and at my
105,the process won't allow that you've got to let go,every time of advocacy people wanting to target people,10,9,0.10526315789473685,0.10526315789473685,0.0,0.0,to,to,,,2,0.2222222222222222,of to,5,0.5,the won't that you've to
106,dear friend of mine says you know tricia i love,th thank  everybody a really strong player ups,10,8,0.0,0.0,0.0,0.0,,,,,2,0.25,a really,3,0.3,of you i
107,consulting work and even though i'm getting paid a fire,provider,10,1,0.0,0.0,0.0,0.0,,,,,0,0.0,,3,0.3,and i'm a
108,wrong job or the wrong marriage i'm in the wrong,all passed emergeert the if the canopy chairs,10,8,0.22222222222222224,0.22222222222222224,0.0,0.0,the the,the the,,,4,0.5,all the if the,5,0.5,or the i'm in the
109,home of twenty five years and my jeep gets stolen,parked causes to support new newker,10,6,0.0,0.0,0.0,0.0,,,,,1,0.16666666666666666,to,3,0.3,of and my
