index,target,generated,content_f1,word_f1,bleu1,rouge1_f1,overlapping_content_words
17,botter because i couldn't hear the t's just the r's,go around the wraps in the water i figured,0.0,0.3157894736842105,0.2982797622680664,0.27272728085517883,
18,long enough ago i was fourteen a long time ago,started to a few seconds and i was a few,0.0,0.3,0.30000001192092896,0.30000001192092896,
19,the street he turned left and instead of turning around,we went and he kept running back into the lab,0.0,0.3,0.30000001192092896,0.30000001192092896,
20,weeks in the hospital weeks blind and mute as well,cius fare in the corner i get to know,0.0,0.2105263157894737,0.19885317981243134,0.21052631735801697,
21,eyes closed and her mouth open and blood was trickling,hands and air and i poured water she knew,0.0,0.2105263157894737,0.19885317981243134,0.21052631735801697,
22,thinking about my family back home and their saety later,go about my call i'm the bba person for,0.0,0.2105263157894737,0.19885317981243134,0.20000000298023224,
23,next week bob one of the three instructors says today,kind of thing i'm talking to all the people,0.0,0.2105263157894737,0.19885317981243134,0.20000000298023224,
24,man the artists model starts to undress and i say,little kid who was always cold and i got,0.0,0.2105263157894737,0.19885317981243134,0.21052631735801697,
25,i started feeling things i started feeling hot and cold,smoke and i was spitzed by frock pants and i'm,0.0,0.20000000000000004,0.20000000298023224,0.2857142984867096,
26,get help please please get help and then a bunch,cop and there are a lot of cops looking about,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
27,got this very beautiful thin scratch of a surgery incision,sigma hair and this washed out of his face and,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
28,i really started modeling to pay off my college loans,anything the whole scene went beyond my home and i,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
29,the sectarian killings and kidnappings one morning my mom said,the final line and i go to the two womens,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
30,my new family on base even though it was dangerous,one of my wife's case i was going to be,0.0,0.20000000000000004,0.20000000298023224,0.190476194024086,
31,dad one evening i took a two mile walk to,go for a minute i can see if i am,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
32,hear about a kidnapping almost every day in the news,do you know the cut in the arms you know,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
33,class will focus on process the process of art making,math after or after they passed one of the papers,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
34,entire life i had never held a stick of charcoal,i took my little bites out of the kitchen area,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
35,business one but when i started going to art school,double double - i mean he said now we have to,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
36,moving fast enough i kept pushing him to move faster,i would go to bed and talk to my son,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,
37,dear friend of mine says you know tricia i love,president of the world i'm proud steve and i said,0.0,0.20000000000000004,0.20000000298023224,0.190476194024086,
38,the process won't allow that you've got to let go,know that extreme people can't like heighting,0.0,0.11764705882352941,0.09306272119283676,0.20000000298023224,
39,years old i got really sick um and no one,workplace worsened i thought about my night at,0.0,0.11111111111111112,0.0973500981926918,0.1111111119389534,
40,eating this rice um suddenly i heard a loud bang,started marching i say no matter what happened,0.0,0.11111111111111112,0.0973500981926918,0.1111111119389534,
41,heard another thud and then i kind of heard and,y i say i'm an engineer you know,0.0,0.11111111111111112,0.0973500981926918,0.10526315867900848,
42,busily getting out their easels and knowingly getting out sheets,he's the greenery family and we're all the,0.0,0.11111111111111112,0.0973500981926918,0.10000000149011612,
43,dear friend sarah who's also a southerner i say sarah,the witches and i'm sure steve and i,0.0,0.11111111111111112,0.0973500981926918,0.10000000149011612,
44,remember the plate flying and yellow rice everywhere like confetti,fire in the front of the people who've got,0.0,0.10526315789473685,0.09942658990621567,0.10000000149011612,
45,kept getting louder and louder the silence then i finally,i felt something in my life i knew of,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,
46,famous things called the jaws of life to cut open,one of these cigarette tables and be a cigarette,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,
47,i remember being incredibly uncomfortable in a cold hospital bed,home from america and i'm a few years old,0.0,0.10526315789473685,0.09942658990621567,0.20000000298023224,
48,kind of semi lame at my side and you know,wine in the blues community and he's gonna race,0.0,0.10526315789473685,0.09942658990621567,0.10000000149011612,
49,please deliver me and my child intact and healthy out,get the letter it's the mother's mailbox and said,0.0,0.10526315789473685,0.09942658990621567,0.095238097012043,
50,driving at least a hundred mile per hour or even,close to the world today a lot of nineteen,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,
51,voice said the pain of the jump is nothing compared,don't know my first word of paper i knew,0.0,0.10526315789473685,0.09942658990621567,0.10000000149011612,
52,working with companies like retail banking traffic reporting hazardous waste,familiarity with the sex of the cow but it's,0.0,0.10526315789473685,0.09942658990621567,0.10000000149011612,
53,started consulting and i started taking classes to figure out,i just pass my alxotted planes carrying the dog,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,
54,piece gets progressively more undone until the final piece explodes,fluids that sparked the equivalent of primitive winds and,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,
55,made a promise to god that um if god delivers,i go away we come back to making her home,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
56,offering to give thanks for delivering my child home safely,gonna go backward i will go to five churches to,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
57,mother and i drove in our red ford mercury car,no plans to get along with me and i'm happy,0.0,0.10000000000000002,0.10000000149011612,0.190476194024086,
58,still really sick i could barely hold my head up,shake two years ago she thought i thought i thought,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
59,took us a long time to heal my stepfather broke,home and i had a nice job and i went,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
60,arm got better the scar got worse and you know,a mighty glas where the damage is going to the,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
61,multiple surgeries on the arm every time the arm got,can take this part of the conversation i want to,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
62,alive better than you be close and always in danger,give me you grieving your life you think you mean,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
63,sunset cars driving after sunset i remember watching the colors,people and it was a beautiful day and i go,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
64,i wanted i asked to go on vacation to see,got a lot of altitude i was a real candidate,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
65,freeway all of a sudden i see a nearby chekcpoint,cabin i thought about four hours later i started looking,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
66,remember feeling any pain i just ran i ran for,tell you guys did our last minute shift and i,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
67,losing my new safe home america like i lost baghdad,because i was a complete shiverner there was a question,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
68,north to boston which caused my family to collectively take,go to the museum and paper butchers and you can,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
69,needlepoint directing french i found this brochure for the school,know one thing we know one of the biggest questions,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
70,competitive and so i ask judy who is standing next,one year old mike and it says he's got a,0.0,0.10000000000000002,0.10000000149011612,0.095238097012043,
71,start making these hopeless stick figures every forty five seconds,i didn't play all of these songs just took them,0.0,0.10000000000000002,0.10000000149011612,0.095238097012043,
72,big donor cause i was working at harvard business school,go to the park every day a day i want,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
73,wrong job or the wrong marriage i'm in the wrong,familiar with the aforementioned things i have no longer hair,0.0,0.10000000000000002,0.10000000149011612,0.190476194024086,
74,home of twenty five years and my jeep gets stolen,tells me about kisses and links to other craigs and,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,
75,with a hyper allergy something called stevens johnson syndrome and,don't know if i bad luck but i don't know,0.0,0.0,0.0,0.0,
76,slept every night in the hospital to take care of,sat dr sat dr sat dr s,0.0,0.0,0.0,0.0,
77,squeaky round styrofoam plate with bunch of yellow rice on,supposed to be like uhing that's why,0.0,0.0,0.0,0.0,
78,us no trees no nothing just endless miraculous blue sky,there is a great hole i know that's where,0.0,0.0,0.0,0.0,
79,driving vijay we were at the temple vijay vijay vijay,people and they're trying to find our way back stage,0.0,0.0,0.0,0.0,
80,you awake if you're awake say something say something please,see the gun a little bit down and the gun,0.0,0.0,0.0,0.0,
81,this nonstop loop of my stepfather almost like that cliche,back seat i ran across the street i scream,0.0,0.0,0.0,0.0,
82,parents got taken somewhere else my arm you know because,way past our car car we traversed streets uh,0.0,0.0,0.0,0.0,
83,remember you know in the emergency room i remember vague,organizational table table and it's a mental table table,0.0,0.0,0.0,0.0,
84,one nursing twenty four hours around the clock at home,going into a great lady on a visit to my,0.0,0.0,0.0,0.0,
85,wear a short sleeve blouse or a long sleeve blouse,red card i didn't want to go to college i'm,0.0,0.0,0.0,0.0,
86,dangerous edgy pictures of women and he wants to shoot,ff the right right this american man sat simply,0.0,0.0,0.0,0.0,
87,back in another hospital bed staring at another white ceiling,was a good thing and i was a really good,0.0,0.0,0.0,0.0,
88,pregnant which was a real surprise but a happy one,terrified thing i don't know what might people come,0.0,0.0,0.0,0.0,
89,complete bed rest the last trimester of my pregnancy and,got this thing from this stupid lie but he was,0.0,0.0,0.0,0.0,
90,one time for five days with a fetal heart monitor,snoopers apartment complex and uh my doctor's dormitory um and,0.0,0.0,0.0,0.0,
91,friend she used to study english literature so she and,made it out of trouble for me i said i,0.0,0.0,0.0,0.0,
92,explosion sent people flying from their seats my friend jumped,fire in the back of the room it started to,0.0,0.0,0.0,0.0,
93,driver sped away trying to get to safety not knowing,cop the glove compartment and the only person I see,0.0,0.0,0.0,0.0,
94,twenty five minutes ride to school took two hours because,city like a hundred thousand people died in the early,0.0,0.0,0.0,0.0,
95,shia civil war and to see a strong iraqi military,going out of life all the time with this call,0.0,0.0,0.0,0.0,
96,arrived in kurdistan state in northern iraq and i managed,tell people on the planet so far you know about,0.0,0.0,0.0,0.0,
97,a whole new language i don't remember i ever said,door open and we hear the person saying nobody else,0.0,0.0,0.0,0.0,
98,iraqi police iraqi military local mayors leaders with top us,uh the chess commanders there are two other reasons why,0.0,0.0,0.0,0.0,
99,movie the lead actor always survive because it's a movie,bankruptcy and other things they're appointing and,0.0,0.0,0.0,0.0,
100,soldiers rushed to help me asking what happened what happened,go together and my sun exposure and i walked the,0.0,0.0,0.0,0.0,
101,enrolled in a state university to get my master's degree,substantively as it's the young men and women,0.0,0.0,0.0,0.10000000149011612,
102,best to look artsy to fit in but even though,great emotion that i'm adam a day and,0.0,0.0,0.0,0.0,
103,wrong way to make art now this makes me extremely,inside the heart of the people you can't,0.0,0.0,0.0,0.0,
104,going to look different i'm paralyzed what is mine supposed,feeling and i learned something about my computer we knew,0.0,0.0,0.0,0.095238097012043,
105,no way i'm gonna excel drawing this naked man's essence,crazy people like me to tell me i know,0.0,0.0,0.0,0.095238097012043,
106,end of class bob picks one of my gesture drawings,make this pick the rodeo th make the,0.0,0.0,0.0,0.1111111119389534,
107,new york times business sections and the wall street journal,next time someone remembers i forgot about my entire life,0.0,0.0,0.0,0.10000000149011612,
108,piled high with artwork and at my review board one,said that as i said i've got lots,0.0,0.0,0.0,0.0,
109,consulting work and even though i'm getting paid a fire,get me to the studios knowing that we are looking,0.0,0.0,0.0,0.095238097012043,
